[2025-07-12 15:54:43,725] INFO django.server "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[2025-07-12 15:54:43,725] INFO django.server "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[2025-07-12 15:54:48,864] INFO django.server "GET /admin/api/practice/ HTTP/1.1" 200 16731
[2025-07-12 15:54:48,885] INFO django.server "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[2025-07-12 15:54:48,886] INFO django.server "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[2025-07-12 15:54:48,886] INFO django.server "GET /static/admin/js/core.js HTTP/1.1" 304 0
[2025-07-12 15:54:48,887] INFO django.server "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[2025-07-12 15:54:48,887] INFO django.server "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[2025-07-12 15:54:48,888] INFO django.server "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[2025-07-12 15:54:48,889] INFO django.server "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[2025-07-12 15:54:48,890] INFO django.server "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[2025-07-12 15:54:48,892] INFO django.server "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[2025-07-12 15:54:48,892] INFO django.server "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[2025-07-12 15:54:48,894] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:54:48,946] INFO django.server "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[2025-07-12 15:54:50,589] INFO django.server "GET /admin/api/practice/add/ HTTP/1.1" 200 32035
[2025-07-12 15:54:50,608] INFO django.server "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
[2025-07-12 15:54:50,608] INFO django.server "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
[2025-07-12 15:54:50,608] INFO django.server "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[2025-07-12 15:54:50,609] INFO django.server "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
[2025-07-12 15:54:50,610] INFO django.server "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[2025-07-12 15:54:50,614] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:54:50,615] INFO django.server "GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
[2025-07-12 15:54:50,617] INFO django.server "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
[2025-07-12 15:54:50,617] INFO django.server "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
[2025-07-12 15:54:50,689] INFO django.server "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[2025-07-12 15:55:00,378] INFO django.server "GET /admin/api/subject/ HTTP/1.1" 200 16724
[2025-07-12 15:55:00,398] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-07-12 15:55:02,026] INFO django.server "GET /admin/api/subject/add/ HTTP/1.1" 200 20828
[2025-07-12 15:55:02,051] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
